Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary Source,Hourly,Min Salary,Max Salary,Average Salary,Seniority,Job Function,Company Age,SQL,Tableau,Excel
APS 4 - Maritime Geospatial Analyst,"$69,811 - $76,215 (plus Super)
Wollongong - NSW


The Role

The Australian Hydrographic Office (AHO) is Australia’s national hydrographic and charting authority and is responsible for producing nautical charts and other products in support of Australia’s maritime interests and Defence operations, ensuring safety and environment protection.

This Office is seeking people who have qualifications or experience in spatial or physical sciences to contribute towards achieving our business outcomes.

As a Geospatial Analyst with the AHO you will work to ingest, manage and validate geospatial data related to the maritime environment or turn this data into navigation products and services. You will work in geographic information systems to specifications and standards to ensure quality and consistency of output.

You will have an opportunity to combine an exceptional and meaningful career with a highly desirable coastal lifestyle where you will have access to excellent workplace conditions and working arrangements.

A merit pool will be formed from this recruitment activity, and candidates may be required to have a security clearance level ranging from Baseline Vetting to Positive Vetting.



Our teams are technically focussed with a range of subject matter experts in marine data complexities. We work together to flow source data, through validation and quality assessment tasks, then on to the production and dissemination processes. Our tasks are guided via work flow and Quality Management Systems and international and national standards and specifications.

We provide an open plan office working environment that offers you a range of work, flexibility to be innovative, talented colleagues, a focus on training and development and the guidance and support to ensure that you always have everything that you need to succeed.

If you are flexible, resilient, accountable and responsive and can demonstrate your skills and experience and/or equivalent qualifications in spatial or physical sciences, then please consider applying.



As the ideal candidate you will have experience in the spatial sciences, a passion for the maritime environment and an understanding of AHO navigation products and services. You will apply your knowledge and experience to perform and achieve moderately complex geospatial analysis and/or production work within an integrated workforce.

You will be able to communicate with influence to engage with stakeholders on requirements; manage your time well to achieve results; enjoy a process driven workflow, using your attention to detail to adhere to processes, specifications and standards.

You will be a team player and able to contribute your skills and knowledge to improve team performance and efficiency alongside advances in technology.",3.8,Other,Other,10000+ Employees,-1,National Agencies,Government,Government,$10+ billion (USD),Employer Provided Salary,0,70.0,76.0,73.0,Mid,Analyst,2022,0,0,1
"Quantitative Analyst, Equities","Having experienced rapid growth in the last 3 years, the Macquarie Systematic Investment team are looking to hire a Quantitative Analyst to join the quantitative research and portfolio management team in Sydney. Macquarie Systematic Investment, a team within Macquarie Asset Management, managing in excess of A$40bn across a range of systematically driven strategies spanning domestic Australian and global markets serving institutional and retail markets.

Working closely with other members of the quant research and portfolio management teams, you will be responsible for researching and developing the systematic strategies which underpin our products. You will be responsible for generating new research ideas, testing and implementing those research ideas using MATLAB, R, Python, or similar, and monitoring the performance of our systematic models. In addition to research and development you will work closely with the portfolio management team in the day to day implementation of the systematic strategies. You’ll be maintaining and enhancing existing quantitative systems and processes, preparing responses to client and consultant requests and continually seeking ways to add value to the overall investment process.",4.0,Other,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,120.0,130.0,125.0,Mid,Analyst,52,0,0,0
Operation Analyst,"Company description
OzTAM is Australia’s official source of television audience measurement, covering free-to-air and subscription television in the five metropolitan markets (Sydney, Melbourne, Brisbane, Adelaide, and Perth) and subscription television nationally. OzTAM TV ratings are the accepted metric by which Australian television is evaluated. The media industry uses OzTAM data to assist in program development, advertising planning, and to gauge the performance of television programs, networks, and advertising campaigns.
OzTAM’s Video Player Measurement (VPM) provides Australia’s official figures for the audience viewing internet-delivered broadcast TV content (BVOD).
In 2021, OzTAM, Nielsen, and Regional TAM launch the foundation of Australia’s new Total TV currency, Virtual Australia (‘VOZ’), which brings together broadcast viewing on in-home TV sets ( metro and regional linear TV ratings) and connected devices (VPM, measuring broadcast video on demand, or ‘BVOD’) to provide an all-screen, cross-platform planning and reporting standard for Australia’s television industry.",-1.0,Other,North Sydney,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,80.0,85.0,82.5,Mid,Analyst,2022,0,0,0
Developer / SQL Data Analyst,Be one of the first to Apply!,3.8,Robert Half,Perth,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,80.0,110.0,95.0,Mid,Analyst,73,0,0,0
Survey Draftsperson - Spatial Analyst,"We have an exciting opportunity for a Survey Draftsperson to join our team, located in Perth and Bunbury. Our team produce a variety of deliverables including Topographic Surveys, As-constructed Surveys, and various associated calculations for the land survey field teams.
We are looking for a highly motivated individual who is able to contribute in a positive and proactive manner, and is able perform the following drafting tasks, including, but not limited to:
Feature and Topographical Surveys;
Drainage and Road Open Space As Constructed Surveys;
Underground service models;",-1.0,Other,Other,Unknown,-1,Company - Public,Unknown,Unknown,Unknown,Employer Provided Salary,1,60.199999999999996,86.0,73.1,Mid,Analyst,2022,0,0,0
Corporate Performance Data Analyst,"Permanent Full Time
Band 6 ($89,846 to $97,345) plus 10% Super plus monthly Accrued Day Off
Footscray, Melbourne.
About Us
Maribyrnong City Council is undergoing significant change in population growth, redevelopment, and a transitioning economy is leading to an influx of new residents, businesses and opportunities. Maribyrnong is becoming a sought after residential area and a destination for foodies.
The Opportunity",-1.0,Other,Footscray,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,90.0,97.0,93.5,Mid,Analyst,2022,0,0,0
Energy Analyst,"Company: The Green Guys Group
Role: Energy Analyst
Location: Sydney
Type: Full-time Permanent
The Green Guys Group was established in New South Wales in 2010 and has since then established offices in NSW, VIC and QLD and growing demand for renewable energy and energy-saving solutions across Australia.
Due to the growing industry, we are seeking an experienced Industrial Engineer and/or Energy Manager to join our team.",-1.0,The Green Guys Group Pty Ltd,Sydney,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,75.0,90.0,82.5,Mid,Analyst,2022,0,0,0
Customer Engagement Analyst,Be one of the first to Apply!,4.2,Johnson & Johnson Family of Companies,Sydney,10000+ Employees,1887,Company - Public,Other,Other,$10+ billion (USD),Glassdoor Est,0,68.0,73.0,70.5,Mid,Analyst,134,0,0,0
MarTech Data Analyst,Be one of the first to Apply!,4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,83.0,93.0,88.0,Mid,Analyst,52,0,0,0
"Quantitative Analyst, Equities","Having experienced rapid growth in the last 3 years, the Macquarie Systematic Investment team are looking to hire a Quantitative Analyst to join the quantitative research and portfolio management team in Sydney. Macquarie Systematic Investment, a team within Macquarie Asset Management, managing in excess of A$40bn across a range of systematically driven strategies spanning domestic Australian and global markets serving institutional and retail markets.

Working closely with other members of the quant research and portfolio management teams, you will be responsible for researching and developing the systematic strategies which underpin our products. You will be responsible for generating new research ideas, testing and implementing those research ideas using MATLAB, R, Python, or similar, and monitoring the performance of our systematic models. In addition to research and development you will work closely with the portfolio management team in the day to day implementation of the systematic strategies. You’ll be maintaining and enhancing existing quantitative systems and processes, preparing responses to client and consultant requests and continually seeking ways to add value to the overall investment process.",4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,120.0,130.0,125.0,Mid,Analyst,52,0,0,0
Product Analyst (Data),"In this role you will be responsible for the operational excellence of a full range of business deposit products, payment products and term deposits, as well as driving the product development agenda.
You will engage with internal and external sales channels, feature teams, CX & Ops, regulators, RMG, the BFS funding team, Legal, Finance and Marketing. It’s a busy and exciting place to be, for the right person who thrives on variety, challenge and impact.
In this role, you will:
Work closely with a high-performing team of product managers - understanding, analysing and gathering data.",4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,79.0,90.0,84.5,Mid,Analyst,52,0,0,1
Commercial Analyst,"We have an opportunity a Commercial Analyst to join the brewing team. This is a 6 month fixed-term contract, reporting to the Senior Commercial Manager - Procurement & CDS. The role is based out of our York Street office, with flexibility to work from home (currently working from home full time during lockdowns).

This position will see you partnering with the business to support the reporting and analysis of commercial metrics for Lion Customer Supply, ensuring timely and accurate inputs and insights to enable better decisions in managing business performance?.

You will utilise your strong business partnering skills to enable effective decision-making and support forecasting, planning, analysis and insight generation to deliver deep commercial insights. We’re looking for a passionate candidate who can deliver data-driven insights and engage proactively with stakeholders.

We’re seeking a candidate with a strong foundation of commercial skills with a passion for data and analytics. You will be experienced in analytical modelling and be motivated to support the business to make key decisions.

Empower yourself to achieve – start a conversation today!",3.8,Other,Sydney,5001 to 10000 Employees,-1,Company - Private,Other,Unknown,$2 to $5 billion (USD),Glassdoor Est,0,113.0,130.0,121.5,Mid,Analyst,2022,0,0,0
Business Data Analyst,"Job description :
Data Profiling, Mapping and Modelling skills required.
Experienced in standard analysis practices - Required to Model current state (stakeholder analysis, process model, conceptual data model, data flow, business rules).
Analyzing raw files and liaising with system SMEs to source data relative to requirements,
Requirements (use cases, user story breakdown, user story elaboration), move it into design (wireframes, state diagram, sequence diagram) and liaise with Engineers to ensure requirements are clear to develop.",-1.0,Other,Melbourne,Unknown,-1,Company - Private,Unknown,Unknown,Unknown,Glassdoor Est,0,60.0,100.0,80.0,Mid,Analyst,2022,0,0,0
Senior Economic Research and Data Analyst,"Reference number
31290

Employment status
Fixed-Term Full Time - Ending - 03/06/2022

Directorate
Economy Planning and Environment

Location
Waterside East

Award - Classification
City of Gold Coast Certified Agreement 2019 - Stream A Administration Level 7",3.5,Other,Other,1001 to 5000 Employees,-1,National Agencies,Government,Government,$1 to $2 billion (USD),Employer Provided Salary,0,94.0,99.0,96.5,Senior,Analyst,2022,0,0,0
Data Analyst,"Alfred Health
Alfred Health is a leader in health care delivery, improvement, research and education. We are the main provider of health services to people living in the inner southeast suburbs of Melbourne, from ambulatory, to inpatient and home and community based services.
Data Analyst – Clinical Outcomes data Reporting and Research Program (CORRP)
Part-time or Full-time hours available : 38-76 hours per fortnight
Fixed term : 12 month with potential to extend
Classification : HS3 ($82,256 - $99,561 dependent on hours and experience)",4.2,Other,Melbourne,5001 to 10000 Employees,1871,Unknown,Other,Other,Unknown,Glassdoor Est,0,53.0,85.0,69.0,Mid,Analyst,150,0,0,0
Data Science Analyst,"Will you actively create a healthier future for tomorrow?

At Medibank we’re encouraged to think big. We have a clear purpose to impact better health outcomes for our customers, patients and our community.

We celebrate diversity of thought because we want to make better decisions for our customers. As we work towards our goal of better health for better lives, we value the knowledge and contribution of Aboriginal and Torres Strait Islanders. We are working hard to create an inclusive workplace and develop Indigenous careers.",3.7,Other,Melbourne,1001 to 5000 Employees,1975,Company - Public,Other,Other,Unknown,Glassdoor Est,0,72.0,100.0,86.0,Mid,Scientist,46,0,0,0
Operation Analyst,"Company description
OzTAM is Australia’s official source of television audience measurement, covering free-to-air and subscription television in the five metropolitan markets (Sydney, Melbourne, Brisbane, Adelaide, and Perth) and subscription television nationally. OzTAM TV ratings are the accepted metric by which Australian television is evaluated. The media industry uses OzTAM data to assist in program development, advertising planning, and to gauge the performance of television programs, networks, and advertising campaigns.
OzTAM’s Video Player Measurement (VPM) provides Australia’s official figures for the audience viewing internet-delivered broadcast TV content (BVOD).
In 2021, OzTAM, Nielsen, and Regional TAM launch the foundation of Australia’s new Total TV currency, Virtual Australia (‘VOZ’), which brings together broadcast viewing on in-home TV sets ( metro and regional linear TV ratings) and connected devices (VPM, measuring broadcast video on demand, or ‘BVOD’) to provide an all-screen, cross-platform planning and reporting standard for Australia’s television industry.",-1.0,Other,North Sydney,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,80.0,85.0,82.5,Mid,Analyst,2022,0,0,0
Developer / SQL Data Analyst,Be one of the first to Apply!,3.8,Robert Half,Perth,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,80.0,110.0,95.0,Mid,Analyst,73,0,0,0
Survey Draftsperson - Spatial Analyst,"We have an exciting opportunity for a Survey Draftsperson to join our team, located in Perth and Bunbury. Our team produce a variety of deliverables including Topographic Surveys, As-constructed Surveys, and various associated calculations for the land survey field teams.
We are looking for a highly motivated individual who is able to contribute in a positive and proactive manner, and is able perform the following drafting tasks, including, but not limited to:
Feature and Topographical Surveys;
Drainage and Road Open Space As Constructed Surveys;
Underground service models;",-1.0,Other,Other,Unknown,-1,Company - Public,Unknown,Unknown,Unknown,Employer Provided Salary,1,60.199999999999996,86.0,73.1,Mid,Analyst,2022,0,0,0
Corporate Performance Data Analyst,"Permanent Full Time
Band 6 ($89,846 to $97,345) plus 10% Super plus monthly Accrued Day Off
Footscray, Melbourne.
About Us
Maribyrnong City Council is undergoing significant change in population growth, redevelopment, and a transitioning economy is leading to an influx of new residents, businesses and opportunities. Maribyrnong is becoming a sought after residential area and a destination for foodies.
The Opportunity",-1.0,Other,Footscray,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,90.0,97.0,93.5,Mid,Analyst,2022,0,0,0
Energy Analyst,"Company: The Green Guys Group
Role: Energy Analyst
Location: Sydney
Type: Full-time Permanent
The Green Guys Group was established in New South Wales in 2010 and has since then established offices in NSW, VIC and QLD and growing demand for renewable energy and energy-saving solutions across Australia.
Due to the growing industry, we are seeking an experienced Industrial Engineer and/or Energy Manager to join our team.",-1.0,The Green Guys Group Pty Ltd,Sydney,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,75.0,90.0,82.5,Mid,Analyst,2022,0,0,0
Customer Engagement Analyst,Be one of the first to Apply!,4.2,Johnson & Johnson Family of Companies,Sydney,10000+ Employees,1887,Company - Public,Other,Other,$10+ billion (USD),Glassdoor Est,0,68.0,73.0,70.5,Mid,Analyst,134,0,0,0
APS 6 Data Analyst,Be one of the first to Apply!,3.4,Other,Melbourne,1001 to 5000 Employees,1959,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD),Employer Provided Salary,1,87.72,89.44,88.58,Mid,Analyst,62,0,0,0
Test Analyst,"Company Description

NextGen.Net is Australia's leading provider of non-proprietary Software as a Service (SaaS) technology solutions to the mortgage lending industry. We are focused on delivering quality products and services to a range of financial institutions and intermediaries. Our 'ApplyOnline' platform is an industry standard in the provision of digital loan lodgement and assessment. We are experiencing strong growth and have an exciting roadmap full of opportunity in the Australian financial landscape.

Job Description",-1.0,Other,North Sydney,51 to 200 Employees,-1,Company - Private,Other,Other,Unknown,Glassdoor Est,0,77.0,87.0,82.0,Mid,Analyst,2022,0,0,0
Reporting Analyst,"AGL energy are seeking a Reporting Analyst to support the Risk and Compliance team. This is a short term contract role starting asap and running till end of Jan 2022 with a potential to extend. The incumbent will display behaviours which reflect and actively demonstrate alignment to the AGL Values of: Care in every action, Integrity always, Better together, Deliver your best and Shape tomorrow.


Reporting to the Risk Lead, the Risk and Compliance Reporting Analyst will contribute towards AGL's corporate governance and assurance objectives by establishing effective reporting that produces meaningful insights and trends to facilitate timely risk and compliance-informed decision making. You need to be a curious minded person, who is skilled in data analytics and reporting. While this role will be very data driven, you will also be engaging with various stakeholders within the business, sharing your findings and driving the purpose of the Risk and Compliance function so it is important that you are both a data and a people person.",3.4,Other,Melbourne,1001 to 5000 Employees,1959,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD),Employer Provided Salary,1,86.0,106.64,96.32,Mid,Analyst,62,0,0,0
MarTech Data Analyst,Be one of the first to Apply!,4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,83.0,93.0,88.0,Mid,Analyst,52,0,0,0
"Quantitative Analyst, Equities","Having experienced rapid growth in the last 3 years, the Macquarie Systematic Investment team are looking to hire a Quantitative Analyst to join the quantitative research and portfolio management team in Sydney. Macquarie Systematic Investment, a team within Macquarie Asset Management, managing in excess of A$40bn across a range of systematically driven strategies spanning domestic Australian and global markets serving institutional and retail markets.

Working closely with other members of the quant research and portfolio management teams, you will be responsible for researching and developing the systematic strategies which underpin our products. You will be responsible for generating new research ideas, testing and implementing those research ideas using MATLAB, R, Python, or similar, and monitoring the performance of our systematic models. In addition to research and development you will work closely with the portfolio management team in the day to day implementation of the systematic strategies. You’ll be maintaining and enhancing existing quantitative systems and processes, preparing responses to client and consultant requests and continually seeking ways to add value to the overall investment process.",4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,120.0,130.0,125.0,Mid,Analyst,52,0,0,0
Product Analyst (Data),"In this role you will be responsible for the operational excellence of a full range of business deposit products, payment products and term deposits, as well as driving the product development agenda.
You will engage with internal and external sales channels, feature teams, CX & Ops, regulators, RMG, the BFS funding team, Legal, Finance and Marketing. It’s a busy and exciting place to be, for the right person who thrives on variety, challenge and impact.
In this role, you will:
Work closely with a high-performing team of product managers - understanding, analysing and gathering data.",4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,79.0,90.0,84.5,Mid,Analyst,52,0,0,1
IT Technical Analyst (Data and Analytics),"Full Time Permanent
Salary Range $86,169 to $93,835 per annum + 10% Super + RDO

About Melton City Council
The City of Melton is a place where everyone belongs. Our community is vibrant and diverse and one of the fastest developing in Australia. Our organisation strives to provide our community with state of the art, excellent amenity, health and wellbeing and to support our community to be a lifelong learning city. We invest in innovation and our people’s professional and personal development. We offer generous leave and flexibility that best suits your lifestyle and a collaborative and inclusive culture. You’ll be able to work close to home and have new cafes and shops opening every day amongst the heritage buildings and open green spaces of one of Melbourne’s fastest growing municipalities.",3.6,Other,Melbourne,501 to 1000 Employees,-1,Unknown,Government,Government,Unknown,Employer Provided Salary,0,86.0,94.0,90.0,Mid,Analyst,2022,0,0,1
System Analyst - 261112,"Designation / Job title: System Analyst – 261112
Primary or Mandatory skills: -
· Expertise in Informatica Power Center, Oracle, SQL Server
· Knowledge in Avaloq systems
· Good experience in Data Migration, Legacy to Avaloq Systems using ETL
· Good SQL knowledge
· Estimation, High level design and Detailed Design process execution
· Knowledge in Avaloq systems",3.6,Other,Sydney,10000+ Employees,1986,Company - Public,IT Service,Information Technology,$2 to $5 billion (USD),Employer Provided Salary,0,80.0,100.0,90.0,Mid,Analyst,35,1,0,0
Data Analyst,"Footscray, Australia

Reference: 5671865


Join a diverse workforce and enjoy our inclusive workplace culture
Contribute to a shared goal of health and social equity
Option for 1 ADO per month
cohealth leads the way in reducing health and social inequity in partnership with people and the communities in which they live. We are committed to providing inclusive and culturally safe health services that protect the human rights of all people of all gender identities, sexualities, ages, cultural backgrounds, faiths and abilities.",3.6,Other,Footscray,Unknown,-1,Company - Private,Unknown,Unknown,Unknown,Glassdoor Est,0,60.0,100.0,80.0,Mid,Analyst,2022,0,0,0
Data Warehouse Analyst,"The Company
Our client is a leading Australian financial services company that prides itself on providing a workplace where the best people come to do their best work. Ongoing growth has created an exciting opportunity for your skills as a data analyst, and your rewards include a vibrant workplace with a strong sense of community and inclusion, and a career where you can make a difference by collaborating with, and learning from, the best.
The Role
You will be responsible for delivery of data analysis, reports, and dashboards to support business operations through the company. Your technical skill will apply throughout the entire business intelligence development life cycle though with a primary focus on data analysis, report development and user support.",3.8,Robert Half,Sydney,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,1,151.35999999999999,180.6,165.98,Mid,Analyst,73,0,0,0
SQL Data Analyst,"Nationally recognized brand is currently seeking a Data Analyst for a permanent opportunity in their business.

SQL will be the core of what you do, so they need you to be an expert in that space.
Bonus expertise would be SSIS, SSRS, SSAS, Power BI, DAX, Azure.
You will be working as part of a strong data engineering team, so will you naturally learn these bonus skills as you go anyway.
Skill set / Experience needed -",3.8,Robert Half,Sydney,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,110.0,110.0,110.0,Mid,Analyst,73,1,0,0
Analyst | Data & Analytics,Be one of the first to Apply!,-1.0,Disseny 360,Hobart,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,40.0,58.0,49.0,Mid,Analyst,2022,0,0,0
Sea-Ice Data Analyst,"Branch: Chief Scientist
Section: Antarctic Climate System
Executive Level 1 – Ongoing
Salary: $110,092 p.a. – $118,412 p.a.
Duties
As a Sea-Ice Data Analyst you will play a lead role in the acquisition and specialised processing of a range of data streams from:
satellite sensors eg synthetic aperture radar (SAR), optical and thermal infrared",-1.0,Australian Antarctic Division,Australia,Unknown,-1,Company - Private,Unknown,Unknown,Unknown,Employer Provided Salary,0,110.0,118.0,114.0,Mid,Analyst,2022,0,0,0
Sea-Ice Data Analyst,"EL 1 - $110,092 - $118,412 per annum plus superannuation
Australian Antarctic Division
Hobart, TAS
Map and deliver end-to-end downloads, verification, storage and access of a wide range of environmental data and imagery for broad use in Earth System science.
Independently undertake basic validation and analysis in support of cutting edge climate-research projects, including high-end graphical presentations.
Lead or contribute to relevant research including presentations, publications, WWW portals and reports.


The Australian Antarctic Division (AAD) is part of the Commonwealth Department of Agriculture, Water and the Environment. As primary agency for Australia's Antarctic Program (AAP), the AAD is responsible for achieving the Australian Government's Antarctic goals. These goals are to:


The AAD also has responsibility for administering the Australian Antarctic Territory and the Territory of Heard and McDonald Islands.

The AAD Science Branch leads, conducts and supports a world class program of scientific research and environmental management, consistent with national priorities through the Australian Antarctic Science Strategic Plan. The branch provides research and advice to support Australia’s Antarctic policy objectives, including participation in the Antarctic Treaty system and other international committees, commissions and intergovernmental panels. It manages and administers the Australian Antarctic Science Program (including project requests, assessment, and reporting) and provides scientific and research advice to support regulatory and management decisions. The branch provides scientific advice for Antarctic capability projects, conducts impact assessments and develops strategies to address environmental legacies and undertakes targeted outreach promoting the value of Australian Antarctic science.

The Antarctic Climate Program investigates a range of Antarctic and Southern Ocean components of the climate system. Its team studies Antarctic atmosphere, sea ice, ice sheets and past climate using ice cores. The Antarctic Climate Program is well integrated within the Australian Antarctic Program Partnership at the University of Tasmania and holds links into the Australian Centre for Excellence in Antarctic Science, an Australian Research Council funded program.


The key duties of the role include, but are not limited to:






A relevant degree in climate, physical or computer science from an Australian tertiary institution, or a comparable overseas institution, or demonstrated equivalent experience.


that the successful applicant may be required to travel to the Antarctic and sub-Antarctic regions therefore they may be required to meet specific medical, adaptability and personal qualities requirements appropriate to working in those environments. In order to undertake travel to the Antarctic & sub-Antarctic regions they will need to:


The successful applicant must also:",3.5,Australian Department of the Environment,Hobart,501 to 1000 Employees,-1,Unknown,Government,Government,$50 to $100 million (USD),Employer Provided Salary,0,110.0,118.0,114.0,Mid,Analyst,2022,0,0,1
Data Analyst - amaysim - perm or 6-12 mth FTC,"About Us
At amaysim , it’s not just the customers that get all the Big Love – we make sure our people feel it too ! Our people are the staple of our culture and everything we do is driven by our four key values, with empathy at the heart of it all. We work hard and have fun in the process and are always looking at new ways to innovate and inspire whilst remaining true to our roots.

About the Role
We’re looking for a passionate analyst who has strong business acumen and a desire to fully engage and partner with our teams, driving some unique and successful commercial outcomes. The Data Analyst works with a wealth of data to provide detailed insights and recommendations to teams across the business, with a predominant focus on Marketing (CRM, Acquisition and Retail). Be a key part of the recently formed Project Churn Zero (PCZ) team, adding the analytical power to an agile and dynamic team tasked with driving down churn across the base. This role would suit someone who has worked with CRM and marketing teams, as well as product owners and portfolio managers in the past (either agency or brand side) – essentially where you’ve picked up or expanded your analytical outlook and acumen. It’s a collaborative environment and we want you to proactively own what needs to be done each day – pushing the limits and coming up with ideas to answer the challenges coming from our stakeholders.",3.9,Optus,Sydney,5001 to 10000 Employees,1992,Subsidiary or Business Segment,"Cable, Internet & Telephone Provider",Telecommunication,$2 to $5 billion (USD),Glassdoor Est,0,81.0,114.0,97.5,Mid,Analyst,29,0,0,0
Data Analyst,"Data Analyst
Trading under Publicis Communications Australia
Salary: $75,000 - $90,000 package
Location: Sydney, Australia
Role Overview
Day-to-day, your role includes:
Conceptualising, delivering and communicating analytically-driven solutions centered around digital marketing to help drive results for our clients",3.7,Publicis Groupe,Pyrmont,10000+ Employees,1926,Company - Private,Advertising & Marketing,Business Service,$5 to $10 billion (USD),Employer Provided Salary,0,75.0,90.0,82.5,Mid,Analyst,95,0,0,0
Data Analyst,"Develop effective business intelligence and data warehouse solutions. Provide critical analysis of financial and non-financial information to achieve improvements in performance measures such as Revenue, cost reduction, time reduction and/or quality improvement across the business.
What’s the role?
Proactively deliver data-driven insights and recommendations through Tableau dashboards
Maintain & enhance existing financial models, financial data processes and dashboard reporting
Be an advocate for Tableau dashboards and continue to increase data literacy across Finance",2.8,News Corp Australia,Surry Hills,5001 to 10000 Employees,1923,Company - Public,Publishing,Media,Unknown,Glassdoor Est,0,79.0,94.0,86.5,Mid,Analyst,98,0,1,0
SQL Data Analyst,"About Infosys:

Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.





If your passion is to build solutions that really make a difference to enterprises, the community and your world, Infosys is the right place for you.









All aspects of employment at Infosys are based on merit, competence and performance. We are committed to embracing diversity and creating an inclusive environment for all employees. Infosys is proud to be an equal opportunity employer.

At Infosys, we recognize that everyone has individual requirements. If you are a person with disability, illness or injury and require adjustments to the recruitment and selection process, please contact our Recruitment team for adjustment only on Infosys_ta@infosys.com or include your preferred method of communication in email and someone will be in touch.

Please note in order to protect the interest of all parties involved in the recruitment process, Infosys does not accept any unsolicited resumes from third party vendors. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile. All recruitment activity must be coordinated through the Talent Acquisition department.",3.8,Infosys,Sydney,10000+ Employees,1981,Company - Public,IT Service,Information Technology,$10+ billion (USD),Glassdoor Est,0,100.0,105.0,102.5,Mid,Analyst,40,0,0,0
Reporting and Data Analyst,Be one of the first to Apply!,-1.0,Heart Talent Collective,Mosman,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,80.0,90.0,85.0,Mid,Analyst,2022,0,0,0
Data Linkage Analyst,"Job no: 496494
Work type: Full time
Location: Hobart
Categories: Information Technology
Data Linkage Analyst

Full time fixed term position until 30 June 2023
Based in Hobart
Showcase your technical and analytical skills",4.1,University of Tasmania,Hobart,1001 to 5000 Employees,-1,College / University,Education,Unknown,$500 million to $1 billion (USD),Employer Provided Salary,0,81.0,87.0,84.0,Mid,Analyst,2022,0,0,0
Data and Reporting Analyst,"Job no: 503188
Work type: Full-time
Location: Sydney, NSW
Categories: Administration, Information Technology, Research Administration support
Data & Reporting Analyst
Key support to research grants and compliance management system.
Continuing Full-Time Position
$89, 670 - $106,449 + 17% super + leave loading, pro-rata
Data extraction and analysis for the Division of Research & Enterprise and for other business units and supporting continuous business process improvement on application systems and reporting.",4.2,University of New South Wales,Sydney,5001 to 10000 Employees,-1,College / University,Education,Unknown,$1 to $2 billion (USD),Employer Provided Salary,0,90.0,106.0,98.0,Mid,Analyst,2022,0,0,0
