Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Machine Learning Engineer (Deep Learning Specialisation - mid and higher),-1,Be one of the first to Apply!,3.9,Nearmap,Sydney,201 to 500 Employees,2007,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist, Financial Crime",-1,"Requisition Title -
Senior Data Scientist, Financial Crime
Job Number: - AUS138573
Description
Contribute to and foster the development of a compliance & continuous improvement culture across ANZ
An opportunity to join an innovative, collaborative, and high-performing team
Build your career your way
About The Role",4.2,ANZ Banking Group,Australia,10000+ Employees,1835,Company - Public,Banks & Building Society,Finance,Unknown / Non-Applicable
AI Scientist - Machine Learning in NLP,$101K (Glassdoor Est.),"AI Scientist - Machine Learning in NLP-21000W5E

Applicants are required to read, write, and speak the following languages: English
Preferred Qualifications

Principal Member of Technical Staff - Digital Assistant and Bots Platform Team
We are a growing group within Oracle creating innovative products that leverage the power of AI and Machine Learning to bring world-class speech, vision and natural language capabilities to Oracle’s Digital Assistant platform. We are like a start-up inside a large company with a big charter and a lot of creative freedom. We have assembled some of the smartest people in the industry and are growing this team.",3.8,Oracle,Melbourne,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data & Analytics Transformation Lead,-1,Be one of the first to Apply!,4.2,Novartis,Sydney,10000+ Employees,1996,Company - Public,Biotech & Pharmaceutical,Biotech & Pharmaceutical,$10+ billion (USD)
Data & Applied Scientist II,-1,"Do you have a passion for working with customers on their most forward-looking AI initiatives? We are seeking someone to develop machine learning solutions to solve the business problems our customers face every day.

The Commercial Software Engineering (CSE) team is a global engineering organization that works directly with customers looking to leverage the latest technologies to address their toughest problems and transform their industries using cloud-based solutions. We sit side-by-side with our customers to collaboratively innovate custom solutions tailored to their business challenges. In the process, we help shape the future of our own platforms by partnering with our product groups to improve them. We pride ourselves on making contributions to open source and make our platforms easier to adopt. Our work involves the development of high-impact software assets that contribute to the Microsoft platform that are broadly applicable. Our diverse skillsets and collaborative, curious natures help us foster innovation with our customers and with ourselves. Fresh perspective is part of how we create meaningful impact in our work and inclusive day-to-day experiences. We want your help in continuing to reflect the communities we serve and live in.",4.4,Microsoft,Melbourne,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Big Data Engineer,$95K - $100K (Glassdoor Est.),"Who are we?

Servian is the largest privately owned data consultancy in Australia. We embrace innovation and change, and the positive impact it has for us and our clients. All roles at Servian involve personal and technical development and career growth, so speak to us about how we can work together.

About you
Servian is a company full of smart, technology agnostic consultants. You will be a passionate and proactive self-starter who continually seeks to learn and develop your professional skill set.

The role
As a Servianite, you will work alongside a team of highly talented technical consultants that provide top quality solutions for a range of tier-1 clients across various industries (Telco, Finance, Aviation, Insurance etc). It is a great opportunity for a passionate technologist with a solid understanding of data engineering and data warehousing best practices to join a rapidly growing consultancy.",4.2,Servian,Sydney,501 to 1000 Employees,2008,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,Employer Provided Salary:$110K - $130K,"About Us
mPort has designed and built a world-first automated 3D body measurement platform, transforming the phygital experience. Using thousands of point cloud data, an accurate 360-degree 3D avatar of your body is created within seconds of scanning inside the mPod. Our innovation is widely used by customers across Australia for tracking body and health improvements.
About the Opportunity
mPort is looking to hire an experienced engineer to join our Research and Development team. You must have a strong ability to translate published literature into implementation, and be able to derive new solutions based on a combination of existing solutions.",-1,mPort Ltd,Crows Nest,-1,-1,-1,-1,-1,-1
"Consultant, Data Scientist",$87K - $110K (Glassdoor Est.),"Work type: Permanent Full time
Location: Aust - VIC Metro
Enterprise Data Science is a team of passionate, creative, and diverse data scientists and engineers that shape the data and analytics landscape at the NAB.
In this role, you will support the Enterprise Data Science team by furthering our ability to drive data and analytics solutions across the organisation by:
Leading the development and delivery of machine learning solutions for our business stakeholders
Contributing to the strategy of the team and the development and delivery of an automated data science best practice process for all analytics practitioners
Contributing to the growth of a world-class data science offering",3.8,NAB - National Australia Bank,Melbourne,10000+ Employees,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),-1
Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.",4.4,Boston Consulting Group,Perth,10000+ Employees,1963,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
Data & Applied Scientist II,-1,"Do you have a passion for working with customers on their most forward-looking AI initiatives? We are seeking someone to develop machine learning solutions to solve the business problems our customers face every day.

The Commercial Software Engineering (CSE) team is a global engineering organization that works directly with customers looking to leverage the latest technologies to address their toughest problems and transform their industries using cloud-based solutions. We sit side-by-side with our customers to collaboratively innovate custom solutions tailored to their business challenges. In the process, we help shape the future of our own platforms by partnering with our product groups to improve them. We pride ourselves on making contributions to open source and make our platforms easier to adopt. Our work involves the development of high-impact software assets that contribute to the Microsoft platform that are broadly applicable. Our diverse skillsets and collaborative, curious natures help us foster innovation with our customers and with ourselves. Fresh perspective is part of how we create meaningful impact in our work and inclusive day-to-day experiences. We want your help in continuing to reflect the communities we serve and live in.",4.4,Microsoft,Melbourne,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Senior Data Scientist,-1,"Mentor other data scientists and analysts to elevate the thinking and technical ability across the organization as well as assist with presentation and delivery.

Collaborate with users and stakeholders to develop, test and document new ways to help provide data driven outcomes to the business.
Skills and experience include:
Tertiary qualifications in a STEM or business discipline
5 years+ experience in advanced data analytics or machine learning / AI / Statistics
Sound communication and influencing skills with stakeholders from a range of backgrounds",4.1,Robert Walters,North Ryde,1001 to 5000 Employees,1985,Company - Public,Staffing & Outsourcing,Business Service,$500 million to $1 billion (USD)
Data Scientist,Employer Provided Salary:$70 - $77 Per Hour,"$70 - $77 per hour plus super
Face2face Recruitment number # 551380
Contract to October 2022
Face2face Recruitment number # 551380
Contract to October 2022
Located in Canberra, ACT
Baseline clearance required
$70 - $77 per hour plus super",5.0,face2face Recruitment,Canberra,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Senior Fraud Risk Data Scientist,$125K - $145K (Glassdoor Est.),"Are you ready?

At Optus we believe that our Amazing People are central to helping us achieve our vision to be Australia’s most loved everyday brand, with lasting customer relationships.

About your role …",3.9,Optus,Sydney,5001 to 10000 Employees,1992,Subsidiary or Business Segment,"Cable, Internet & Telephone Provider",Telecommunication,$2 to $5 billion (USD)
Senior Data Scientist,-1,"Explore our passion for discovery
Global companies and governmental entities rely on us to solve their most complex data challenges. Our employees collaborate to reduce risks and create opportunities for customers in more than 100 countries. We’re adaptable, curious and ambitious. That’s why here, you’ll have the freedom to drive change, the trust to find your own path, and the space to explore more
Senior Data Scientist required at ThreatMetrix®, A LexisNexis® Risk Solutions Group, provides an end-to-end platform for digital identity intelligence and trust decisioning.
As a Senior Data Scientist , you’ll use global data from the largest real-time fraud detection platform to craft solutions for our enterprise customers. Your experience with data analysis, statistical modelling , and machine learning will lead to immediate real-world impact in the form of lower consumer friction, reduced fraud losses and as a result, increased customer profitability.",3.5,Risk Solutions,Melbourne,1001 to 5000 Employees,1968,Subsidiary or Business Segment,Advertising & Marketing,Business Service,$1 to $2 billion (USD)
Data Scientist - Health Insurance,-1,"Parramatta CBD location (flexibility to work remotely)!
Work in a close-knit team, alongside a senior who you will collaborate with!
Junior-Mid-level role for someone with strong communication skills


Parramatta CBD location (flexibility to work remotely)!
Work in a close-knit team, alongside a senior who you will collaborate with!
Junior-Mid-level role for someone with strong communication skills

We are currently seeking a junior-mid level Data Scientist to join an agile and innovative data and advanced analytics team within one of Australia’s largest healthcare insurance providers.
This role is strongly focused on understanding the business, providing insights, visualising the outcome and developing descriptive and predictive models on findings.
Being heavily data driven, strong engagements with multiple stakeholders are required across the business. You will be responsible for pushing developed initiatives across various teams within the business using ML models.


You will have 2-4 years experience as a data scientist and are at a point where you want to further develop your career within data science, workthing with a close-knit team.







If this looks like you, please apply with your CV and Cover Letter through the links below.

This position is eligible for people with full Australian work rights who can interview in person in Sydney at short-notice.",4.0,Talent Insights Group,Parramatta,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Senior Data Scientist - Fraud Analytics (Insurance),Employer Provided Salary:$140K,Be one of the first to Apply!,4.0,Talent Insights Group,Sydney,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,-1,"Data Scientist opportunity within a Government Department for an initial 8-month contract.

Your new company
You will be working with a Government Department as a Data Scientist on the Busting Congestion program.

Your new role
As a Data Scientist, help teams to understand what is possible with the data we already collect and identify additional sources of data we could consume. Identify the most appropriate sources of data for the user need and help teams operationalise these datasets into user-centred features of digital products through analysis, visualisation, predictive modelling, machine learning and more. Assist teams understand the strategic context of the data they use, including privacy, security, and regulatory obligations.


To be considered, you will need:
You must be an Australian citizen and will possess or be willing to go through the process to obtain and maintain a (NV1 Security Clearance) personnel security clearance.


In return you will secure a competitive hourly rate with an initial 8-month contract and possibility of extensions.


If you are interested in this role, please contact Antonio Musolino on (02) 6112 7621 or email Antonio.Musolino@hays.com.au. If this job isn't quite right for you, but you're looking for more opportunities in the IT industry, please contact me for a confidential discussion on your career.

#2564765",3.7,HAYS,Canberra,5001 to 10000 Employees,1968,Company - Private,Staffing & Outsourcing,Business Service,$1 to $2 billion (USD)
Asset Data Scientist,$90K - $134K (Glassdoor Est.),"Business Unit:
Asset Reliablity & Performance
Function:
Asset Management
Job Code:
702364
If you want a corporate career combined with lifestyle then V/Line can take you there. With over 2000 employees, locations throughout Melbourne and Regional Victoria and a true commitment to workplace flexibility, why not have your dream career and the lifestyle you want. We can get you there with free myki travel.",3.9,V/Line,Melbourne,1001 to 5000 Employees,Government,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,-1
Senior Data Scientist,-1,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.


BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and machine learning with deep industry expertise. The BCG GAMMA team is comprised of world-class data scientists and business consultants who specialize in the use of advanced analytics to get breakthrough business results. Our teams own the full analytics value-chain end to end: framing new business challenges, building fact-bases, designing innovative algorithms, creating scale through designing tools and apps, and training colleagues and clients in new solutions.",4.4,Boston Consulting Group,Perth,10000+ Employees,1963,Company - Private,Consulting,Business Service,$5 to $10 million (USD)
Machine Learning Scientist,-1,"Completed PhD in Machine Learning, Computer Vision, Statistics or in a highly quantitative field
Publications in top-tier conferences/journals recognized for Computer Vision, Machine Learning or Data Mining such as CVPR, ICCV, IEEE, NeurIPS, ICML, and ACL
Strong Problem solving ability
Good skills in Python (or similar language)
Strong communication and data presentation skills
At Amazon Australia, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving Terabytes of data. We work on applying machine learning, and particularly computer vision, to a wide spectrum of problems in areas such as Amazon Retail, Seller Services, Customer Service and so on. We are looking for talented and experienced Machine Learning Scientists (Ph.D. in a related area preferred) who can apply innovative Machine Learning techniques to real-world e-Commerce problems. You will get to work in a team dedicated to advancing Machine Learning technology at Amazon and converting it to business-impacting solutions.

Although this position will be based in Adelaide, South Australia, for the duration of the Coronavirus-19 outbreak arrangements will be made to enable the successful candidate to observe the relevant travel restrictions, possibly by working from home, or another Amazon office.

Major responsibilities",3.7,Amazon Support Services PtyLtd,Adelaide,1001 to 5000 Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Machine Learning Engineer,Employer Provided Salary:$80K - $120K,"With Pay It Later, our customers can make purchases at your favourite online retailers and pay off the purchase overtime automatically.We’ve completely integrated with online stores to make on-the-spot credit approvals with no long forms. Pay It later also developed a mobile app to give users easy access to make payments through the mobile.
The Opportunity:
Pay It Later is looking for a Machine Learning Engineer to develop Machine self-running AI features to automate predictive models.
Responsibilities:
You will generate procedures and tests with the aim of capturing sensor data to apply to your Machine Learning models.",-1,Pay It Later,Sydney,-1,-1,-1,-1,-1,-1
"Senior Analyst, Data & Analytics",-1,Be one of the first to Apply!,3.7,Bupa,Sydney,10000+ Employees,1947,Company - Private,Healthcare Services & Hospital,Healthcare,$5 to $10 billion (USD)
Principal Data Scientist,-1,"Principal Data Scientist

Job no 505837
Work type Full Time Permanent
Location Victoria, New South Wales, South Australia, Queensland
Categories Technology, Available for Referral
About the Role

EnergyAustralia is currently undergoing a major transformation in all aspects of our data and digital environments. As a result of this we have established a and it is this team that will take a lead role in how we develop and deliver a best-in-class Analytics capability.",3.6,EnergyAustralia,New South Wales,1001 to 5000 Employees,Company - Private,Energy,"Oil, Gas, Energy & Utility",$5 to $10 billion (USD),-1
Research Fellow (Blockchain/Data Science),$87K - $101K (Glassdoor Est.),"Responsibilities:
Focus on blockchain, cryptography, security and/or Data Science research
Work with blockchain engineer team to develop blockchain prototype solutions for given use cases
Produce instruction manuals and methodology reference
Deliver technical instruction and knowledge to blockchain engineer team
Use data science to guide project strategic decisions
Required Skills & Experience:
Extensive knowledge in key areas of blockchain research (e.g. side chains, confidential transactions, data privacy, and other scaling methodologies, etc)",-1,Aglive,Sydney,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
"AI, Robotics and Data Analytics Scientist",$60K - $100K (Glassdoor Est.),Be one of the first to Apply!,-1,MACRO Recruitment,Melbourne,Unknown,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Scientist,$110K (Glassdoor Est.),"An exciting opportunity to develop your career in risk management and modelling. The objective of this role is to support Latitude Financial Services (LFS) Risk Modelling Centre of Excellence by developing, maintaining and advancing quantitative models through the entire life cycle of each LFS financial product.

At Latitude we’ve set our sights on revolutionising how people borrow money – moving to an insight-led, tech driven offer that helps our customers enjoy easier money freedom.

Lets talk about the opportunity",3.1,Latitude Financial Services,Docklands,1001 to 5000 Employees,2015,Company - Public,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Data Scientist,$70K - $84K (Glassdoor Est.),"As a Data Scientist, you will lead the development of analytics solutions based on machine learning & statistical predictive algorithms for clients of Data & AI to solve some of their most pressing challenges. We are looking for experienced data scientists with extensive hands-on experience in machine and deep learning, statistical modeling, and software development, proven scientific research skills, and technical leadership as well as commercial experience required to apply these skills in a consulting-based project environment.

Responsibilities include:
Assessment of client requirements and the design of solutions to address them based on data analysis, data science, technology, and business process design.
Financial business case development.



Benefits of being an Avanade Employee
Please APPLY only if you are an Australian Citizen or a Permanent Resident with full working rights.",4.2,Avanade,Perth,10000+ Employees,2000,Company - Private,IT Service,Information Technology,$2 to $5 billion (USD)
CERC Postdoctoral Fellowship in 4D Minerals Data Science,Employer Provided Salary:$89K - $98K,"The Opportunity
Do you have a PhD in a relevant discipline area, such as statistics / applied mathematics, artificial intelligence (including machine learning) or similar?
Integrate geological knowledge and data to predict mineral distributions and improve processing productivity
Join CSIRO – Australia’s leading scientific research organisation!

CSIRO Early Research Career (CERC) Postdoctoral Fellowships provide opportunities to scientists and engineers who have completed their doctorate and have less than three years of relevant postdoctoral work experience. These fellowships aim to develop the next generation of future leaders of the innovation system.",3.7,CSIRO,Sydney,5001 to 10000 Employees,1926,Government,National Agencies,Government,$500 million to $1 billion (USD)
Senior Data Scientist Financial Crime,$95K - $127K (Glassdoor Est.),"Objective of the Role
Lead the development and delivery of monitoring, detection and real time decisioning strategies and tactics deployed in our financial crime systems, solutions and services.
Key Accountabilities
Implementation of strategic and tactical response to financial crime threats by way of our Financial Crime detection solutions and services
Implement proactive prevention response to fraud threats, including the effective deployment of real time fraud controls
Operational delivery of strategy, roadmap and initiatives as they relate to financial crime analytics",3.7,Suncorp Group,Brisbane,10000+ Employees,2002,Company - Public,Banks & Building Society,Finance,$10+ billion (USD)
Senior Data Scientist - Financial Crime,-1,"Senior Data Scientist required to join a key financial crime team within a very stable finance organization.
You will be working on a strong team of 4 reporting directly to the Head of Analytics.
Establish and grow our analytics capabilities within our Financial Crime area.

THE IDEAL CANDIDATE:
Strong SQL, & Python OR R
Algorithms exp (regression, tree based, PCA, SOMs, Kmeans, clustering, etc.) to create analytical assets and monitor",4.0,The Recruitment Company,Sydney,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
Data Science/Software Engineer,-1,"Working at Abyss
Abyss Solutions pushes the state-of-the-art in machine learning and computer vision technologies to understand the world, bringing cutting-edge research to customer solutions. Abyss is a rapidly accelerating start-up delivering data-driven engineering assessments for critical infrastructure. You will work on practical problems impacting the physical world with a team of experts in computer vision, machine learning, robotics, sensor technology, and civil engineering. This role has rapid career development and learning opportunities.

Your Role",4.5,Abyss Solutions,Homebush,51 to 200 Employees,Company - Private,Oil & Gas Service,"Oil, Gas, Energy & Utility",Unknown / Non-Applicable,-1
Data Scientist - 24 Months Fixed Term Contract,-1,"Who is Equifax?
Equifax is a leading global data, analytic and technology company, supporting customers across 24 countries. We have been serving the Australian and New Zealand markets for over 60 years. Through continuously adapting to our environment, not only have we remained a market leader, we drive and challenge ourselves to do better to help our customers live their financial best.
Our people are what makes us great at what we do - we see every member of our team as an integral piece of a jigsaw. We celebrate differences and recognise that each person brings with them unique talents and perspectives. We provide our people the support and flexibility to manage their work-life balance. At Equifax we genuinely care about our people and our ability to come together as #OneEquifax.
AUS-Melbourne
AUS-Sydney-100-Arthur
Function - Data and Analytics
Full time",3.7,Equifax,Docklands,10000+ Employees,1899,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Biostatistician (PharmDash) - Work where you live,$60K - $96K (Glassdoor Est.),"About Prospection

Prospection is a pioneer in healthcare data analytics. Using predictive analytics and machine learning with real-world healthcare data to unearth insights that help research, develop and target better healthcare outcomes for patients.

We analyse large health care data sets (script claims, EMR, Registry, Insurance, Supply Chain, CRM) to provide real world evidence insights, improve medication utilisation and health outcomes.

Founded out of Sydney’s Cicada Innovations in 2012, Prospection works with government, pharmaceutical companies and the medical community across more than 70 therapy programs, including immuno-oncology, HIV and hepatitis, in Australia and Asia Pacific. Prospection is backed by investors including Ellerston JAADE, Sequence Ventures, and Horizons Ventures.",5.0,Prospection Pty,Sydney,51 to 200 Employees,Unknown,Unknown / Non-Applicable,-1,-1,-1
Data Analyst / Junior Data Scientist,Employer Provided Salary:$80K - $100K,"Twelve time Webby award-winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace. We connect millions of employers to freelancers across the globe, and every day thousands of jobs are described, bid on, negotiated, and managed through our site.
We think it is pretty cool that our dataset details a real life economy, where work is undertaken in every area you can think of. From design, writing, data entry and software development; through to sales, marketing, accounting and legal services - even NASA uses us!
Freelancer's data science and analytics team is world class. We have a team of analysts/data scientists across three offices, with backgrounds in software engineering, mathematics, physics, neuroscience, computer science, and more. We have data infrastructure that runs a sophisticated dashboard and multi-variate testing framework.",4.2,Freelancer.com,Sydney,501 to 1000 Employees,2010,Company - Public,Staffing & Outsourcing,Business Service,$25 to $50 million (USD)
Data Engineer,$115K - $120K (Glassdoor Est.),"Job Description:
DXC Technology (NYSE:DXC) - where brilliant people embrace change and seize opportunities to advance their careers and amplify customer success. We live in more than 70 countries, speak multiple languages and work with over 6,000 customers on almost every continent. We use the power of technology to deliver mission critical IT services that move the world. DXC.com
We are looking for an Analytics Consultant to join our team. The position will be responsible for delivery of Data Engineering and Data Modelling for specific accounts for our DXC Clients. The role may also support Pre-Sales and Business Development on existing DXC Industry Accounts and new channels.
As the Consultant, you have subject matter knowledge of end to end data management, modelling, engineering, and analytics. You will have the opportunity to participate in cross-division, multi-function teams around current delivery and future opportunities.",3.4,DXC Technology,Sydney,5001 to 10000 Employees,2017,Company - Public,IT Service,Information Technology,$1 to $2 billion (USD)
Big Data Engineer,Employer Provided Salary:$90K - $95K,"BIG DATA ENGINEER- BAR 360
Location: Sydney, Australia
Job Types: Full-time, Permanent
Salary: $90,304.00 – $95,000.00 per year
We are fast growing boutique consultancy in data analytics partnering with big vendors and big consultancy's in Australia. We primarily focused on providing solutions and majorly driving solutions using Open Source technologies.
We are currently looking to bolster our young team with an experienced Big Data Engineers who share similar passion for deploying insightful data solutions using Big Data tools and techniques.",-1,BAR360,Sydney,-1,-1,-1,-1,-1,-1
"Enterprise Data - Financial Data and Analytics Solutions Specialist, Sydney",-1,"Do you want to belong to an inspiring and encouraging community that""s well respected in financial markets and be part of a group directly contributing to the company""s bottom line? Keen to provide solutions and ideas to our market leading Excel Solution Library for finance professionals? Interested in combining Excel skills with business sense to build P&L impacting solutions for our clients?

The Desktop Build Group (DBG) works closely with Bloomberg""s existing and prospective clients to find solutions to business needs using Bloomberg""s API for Excel. Last year we delivered over 2500 projects to clients and our Excel solutions on the Bloomberg Terminal are used by over 120,000 financial professionals. We are a global team with colleagues based in London, New York, San Francisco, Sao Paulo, Hong Kong, Singapore, Tokyo and Sydney.



You will use your financial market knowledge to consult our client base, helping them to develop and implement their investment strategies and research demonstrating our Excel APIs, VBA and our groundbreaking query language (BQL). You""ll directly impact our revenue by collaborating closely with our Sales Department and your solutions will be used by potentially thousands of financial market professionals.

Your role will involve full life-cycle development, from initial pitches to prospective clients, requirement gathering, prototyping, implementation, deployment and adoption.















Apply if you think we""re a good match. We""ll get in touch with you to let you know the next steps but in the meantime feel free to browse this:

https://www.bloomberg.com/professional/solution/bloomberg-terminal/

Bloomberg is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Bloomberg is a disability inclusive employer, please let us know if you require any adjustments to be made for the recruitment process by emailing access2@bloomberg.net.",4.1,Bloomberg,Sydney,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Machine Learning Engineer,Employer Provided Salary:$110K - $130K,"About Us
mPort has designed and built a world-first automated 3D body measurement platform, transforming the phygital experience. Using thousands of point cloud data, an accurate 360-degree 3D avatar of your body is created within seconds of scanning inside the mPod. Our innovation is widely used by customers across Australia for tracking body and health improvements.
About the Opportunity
mPort is looking to hire an experienced engineer to join our Research and Development team. You must have a strong ability to translate published literature into implementation, and be able to derive new solutions based on a combination of existing solutions.",-1,mPort Ltd,Crows Nest,-1,-1,-1,-1,-1,-1
"Consultant, Data Scientist",$87K - $110K (Glassdoor Est.),"Work type: Permanent Full time
Location: Aust - VIC Metro
Enterprise Data Science is a team of passionate, creative, and diverse data scientists and engineers that shape the data and analytics landscape at the NAB.
In this role, you will support the Enterprise Data Science team by furthering our ability to drive data and analytics solutions across the organisation by:
Leading the development and delivery of machine learning solutions for our business stakeholders
Contributing to the strategy of the team and the development and delivery of an automated data science best practice process for all analytics practitioners
Contributing to the growth of a world-class data science offering",3.8,NAB - National Australia Bank,Melbourne,10000+ Employees,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),-1
Data Scientist,$70K - $84K (Glassdoor Est.),"As a Data Scientist, you will lead the development of analytics solutions based on machine learning & statistical predictive algorithms for clients of Data & AI to solve some of their most pressing challenges. We are looking for experienced data scientists with extensive hands-on experience in machine and deep learning, statistical modeling, and software development, proven scientific research skills, and technical leadership as well as commercial experience required to apply these skills in a consulting-based project environment.

Responsibilities include:
Assessment of client requirements and the design of solutions to address them based on data analysis, data science, technology, and business process design.
Financial business case development.



Benefits of being an Avanade Employee
Please APPLY only if you are an Australian Citizen or a Permanent Resident with full working rights.",4.2,Avanade,Perth,10000+ Employees,2000,Company - Private,IT Service,Information Technology,$2 to $5 billion (USD)
Practice Lead Data & AI (Sydney),$120K - $156K (Glassdoor Est.),"Australian Headquartered & ASX Listed
Largest Microsoft Modern Work partner in the APAC
Great culture, work-life balance and opportunities to grow

Role

This role takes responsibility for driving growth at the Practice level, by implementing relevant strategy, providing mentoring and support to the team, driving commercial and delivery engagements, participation in presales, as well as providing thought leadership within the Analytics, Data & AI space

You will also:

If this sounds like a role you would like to explore further, please get in touch today.",3.7,Empired,Sydney,501 to 1000 Employees,1999,Company - Public,IT Service,Information Technology,$100 to $500 million (USD)
Junior Data Scientist,-1,"1-2 Years of Data Experience
Must know MongoDB
Have an “understanding” of NoSQL
Project Space:
Projects are around the Security Domain of the Bank which covers / impacts 7 Tribes
The Client’sTeam are releasing 5 data sets at a time
Some POC’s (proof of concepts) have been done and are now moving into Production – Platform and systems are being built
This is the 1st time using MongoDB in the Bank",4.8,Adaps,Melbourne,1 to 50 Employees,Company - Private,Staffing & Outsourcing,Business Service,Unknown / Non-Applicable,-1
Senior Data & Applied Scientist,$167K - $187K (Glassdoor Est.),"Do you have a passion for working with customers on their most forward-looking AI initiatives? We are seeking someone to develop machine learning solutions to solve the business problems our customers face every day.

The Commercial Software Engineering (CSE) team is a global engineering organization that works directly with customers looking to leverage the latest technologies to address their toughest problems and transform their industries using cloud-based solutions. We sit side-by-side with our customers to collaboratively innovate custom solutions tailored to their business needs. In the process, we help shape the future of our own platforms by partnering with our product groups to improve them. We pride ourselves on making contributions to open source and make our platforms easier to adopt. Our work involves the development of high-impact software assets that contribute to the Microsoft platform that are broadly applicable. Our diverse skillsets and collaborative, curious natures help us foster innovation with our customers and with ourselves. Fresh perspective is part of how we create meaningful impact in our work and inclusive day-to-day experiences. We want your help in continuing to reflect the communities we serve and live in.",4.4,Microsoft,Melbourne,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Science Analyst,$72K - $100K (Glassdoor Est.),Be one of the first to Apply!,3.7,Medibank,Docklands,1001 to 5000 Employees,1975,Company - Public,Healthcare Services & Hospital,Healthcare,Unknown / Non-Applicable
"APAC Solution Consultant, Data & Analytics",$109K - $145K (Glassdoor Est.),"The Challenge
Do you believe that data and analytics can drive better outcomes and help make better decisions? Are you seeking to assist insurers to utilize analytics to react faster to the needs of the customer? Do you grasp data and love working with it and explaining how customers can benefit from looking at it differently?
The Opportunity
As a Guidewire Solution Consultant, you will be empowered to sell the features, capabilities, and most importantly the value of Guidewire as a modern analytics platform to a broad set of customers.
By combining internet-scale data listening, adaptive machine learning, and insurance risk modeling, our Analytics solutions provide insights and analytical capabilities that enable our customers and prospects to take advantage of new opportunities, accurately price exposures, and get the most out of their operations and service processes. The Guidewire Cloud Platform brings data and analytics together to enable insurers to generate underwriting insights, understand risks accurately, automate claims processing, develop new products, and take advantage of new opportunities to advance their business goals based on data-driven decisions.",4.5,"Guidewire Software, Inc.",Sydney,1001 to 5000 Employees,2001,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD)
Data Scientist Team Lead,Employer Provided Salary:$140K - $150K,Be one of the first to Apply!,3.8,Clicks IT Recruitment,Brisbane,501 to 1000 Employees,1990,Company - Public,Staffing & Outsourcing,Business Service,$100 to $500 million (USD)
